645|1270.75
892|2307.33
69|498.24
809|448.29
629|400.92
365|549.78
138|54.52
101|106.68
479|834.02
347|1379.82
846|149.82
909|889.38
333|705.18
628|641.08
249|372.66
893|536.13
518|1082.57
962|525.13
468|1415.08
234|1053.4
941|399.78
0|0.0
777|355.04
555|2488.2
666|541.2
88|203.36
481|163.44
352|215.8
408|811.05
977|133.73
170|955.7
523|1336.37
582|0.0
762|1125.17
115|547.26
683|85.32
730|1074.08
217|800.85
276|943.54
994|161.76
308|862.68
741|79.2
5|320.2
873|805.32
449|552.51
120|8.7
247|915.8
379|226.32
878|355.8
440|76.98
655|1158.88
511|934.68
614|385.92
269|290.24
677|1300.19
202|427.68
597|1414.8
861|500.5
10|1254.83
385|1139.04
384|808.28
56|691.08
533|803.16
550|55.09
142|84.15
500|304.98
797|1429.56
715|610.08
472|333.48
814|1649.39
698|987.58
747|1308.44
913|36.48
945|1347.15
340|172.84
538|493.56
153|1508.85
930|564.6
670|585.09
829|474.24
174|357.84
404|24.4
898|1769.87
185|502.38
42|1995.24
782|765.68
709|645.71
841|95.76
417|163.8
24|631.38
973|166.56
885|414.0
288|1442.88
301|2718.46
320|48.3
565|273.24
436|568.8
37|1701.84
25|1040.82
651|780.92
